power_plant_name,date,year,month,baseline_estimated_wacc_pct,implied_auction_consistent_wacc_pct,baseline_modeled_lcoe_brl_mwh,observed_auction_price_brl_mwh,financing_component_baseline_brl_mwh,financing_share_baseline,financing_component_implied_brl_mwh,financing_share_implied,solution_status
SOLAR CAETITÉ 3,2014-10-31,2014,10,8.738335674,3.9828429908867915,290.30958249882883,207.52,136.86399856282142,0.4714415465888852,54.07441723731563,0.26057448405733225,solved
SOLAR CAETITÉ 2,2014-10-31,2014,10,8.738335674,3.9828429908867915,290.30958249882883,207.52,136.86399856282142,0.4714415465888852,54.07441723731563,0.26057448405733225,solved
SOLAR CAETITÉ 1,2014-10-31,2014,10,8.738335674,3.9828429908867915,290.30958249882883,207.52,136.86399856282142,0.4714415465888852,54.07441723731563,0.26057448405733225,solved
DRACENA 4,2014-10-31,2014,10,8.738335674,4.294302280352636,297.64452350414945,217.75,140.32199449450803,0.47144154658888526,60.42747617846862,0.2775084947817406,solved
DRACENA 1,2014-10-31,2014,10,8.738335674,4.294302280352636,297.64452350414945,217.75,140.32199449450803,0.47144154658888526,60.42747617846862,0.2775084947817406,solved
DRACENA 2,2014-10-31,2014,10,8.738335674,4.294302280352636,297.64452350414945,217.75,140.32199449450803,0.47144154658888526,60.42747617846862,0.2775084947817406,solved
DRACENA 3,2014-10-31,2014,10,8.738335674,4.300081689942256,297.51694831093926,217.75,140.26185024811463,0.4714415465888852,60.494906595747665,0.2778181644156678,solved
COREMAS I,2014-10-31,2014,10,8.738335674,6.917594695996118,248.66062457589845,219.78,117.22894942581974,0.47144154658888526,88.34832262886135,0.40198527400898504,solved
VAZANTE 2,2014-10-31,2014,10,8.738335674,4.419722993526236,292.6837814457469,216.12,137.98329458626617,0.47144154658888515,61.41951380261813,0.2841917157803772,solved
VAZANTE 3,2014-10-31,2014,10,8.738335674,4.419722993526236,292.6837814457469,216.12,137.98329458626617,0.47144154658888515,61.41951380261813,0.2841917157803772,solved
VAZANTE 1,2014-10-31,2014,10,8.738335674,4.419722993526236,292.6837814457469,216.12,137.98329458626617,0.47144154658888515,61.41951380261813,0.2841917157803772,solved
CAETITÉ II,2014-10-31,2014,10,8.738335674,3.749668363584207,313.60480466869365,220.3,147.84633413071418,0.4714415465888852,54.54152553452255,0.24757842263679666,solved
CAETITÉ I,2014-10-31,2014,10,8.738335674,3.749668363584207,313.60480466869365,220.3,147.84633413071418,0.4714415465888852,54.54152553452255,0.24757842263679666,solved
CAETITÉ V,2014-10-31,2014,10,8.738335674,3.5687528013873835,317.8866222434206,220.3,149.86496083035496,0.47144154658888526,52.278336102897924,0.23730520514013934,solved
CAETITÉ IV,2014-10-31,2014,10,8.738335674,3.749668363584207,313.60480466869365,220.3,147.84633413071418,0.4714415465888852,54.54152553452255,0.24757842263679666,solved
ITUVERAVA 2,2014-10-31,2014,10,8.738335674,6.226093591252341,255.19246966588003,214.84,120.30833257711964,0.47144154658888515,79.95586164852133,0.37216469055325124,solved
ITUVERAVA 1,2014-10-31,2014,10,8.738335674,6.225438685872778,255.19246966588003,214.83,120.30833257711964,0.47144154658888515,79.94586731095859,0.37213548235193894,solved
ITUVERAVA 3,2014-10-31,2014,10,8.738335674,6.22674924168922,255.19246966588003,214.85,120.30833257711964,0.47144154658888515,79.96586764933076,0.37219393011795204,solved
ITUVERAVA 4,2014-10-31,2014,10,8.738335674,6.227404147068783,255.19246966588003,214.86,120.30833257711964,0.47144154658888515,79.97586257246189,0.37222313459258494,solved
ITUVERAVA 5,2014-10-31,2014,10,8.738335674,6.228059052448347,255.19246966588003,214.87,120.30833257711964,0.47144154658888515,79.98585778818841,0.37225233720508305,solved
ITUVERAVA 6,2014-10-31,2014,10,8.738335674,6.228714702885225,255.19246966588003,214.88,120.30833257711964,0.47144154658888515,79.9958646681172,0.3722815711749072,solved
FRV MASSAPÊ,2014-10-31,2014,10,8.738335674,4.574585391544922,268.86872172913166,200.82,126.75588600135845,0.47144154658888526,58.70716438463185,0.2923372390786359,solved
ITUVERAVA 7,2014-10-31,2014,10,8.738335674,6.229369608264788,255.19246966588003,214.89,120.30833257711964,0.47144154658888515,80.0058604693246,0.37231077006131447,solved
FCR III ITAPURANGA,2014-10-31,2014,10,8.738335674,0.4501962018150836,402.272934234582,220.0,189.64817426640022,0.47144154658888515,7.375238132568171,0.03352380998290122,solved
INHARÉ I,2014-10-31,2014,10,8.738335674,7.549154449662937,236.878997963539,218.7,111.67460115435621,0.47144154658888515,93.4955986456011,0.42750617553136283,solved
GUAIMBE 3,2014-10-31,2014,10,8.738335674,4.535185270632431,296.4801099224857,220.8,139.77304155469938,0.47144154658888526,64.09293538864006,0.290275970553622,solved
GUAIMBE 2,2014-10-31,2014,10,8.738335674,4.235276604715363,296.4801099224857,215.95,139.77304155469938,0.47144154658888526,59.24293383120795,0.27433634280131464,solved
GUAIMBE 1,2014-10-31,2014,10,8.738335674,4.235276604715363,296.4801099224857,215.95,139.77304155469938,0.47144154658888526,59.24293383120795,0.27433634280131464,solved
GUAIMBE 5,2014-10-31,2014,10,8.738335674,4.600217598340286,295.06054595440173,220.8,139.103800122104,0.4714415465888852,64.84325516347701,0.2936741615536399,solved
FRV BANABUIÚ,2014-10-31,2014,10,8.738335674,4.899143533659353,262.55228959798825,200.84,123.77805746852846,0.4714415465888852,62.06576297521201,0.3090308926907969,solved
GUAIMBE 4,2014-10-31,2014,10,8.738335674,4.565420441517605,295.81903846676033,220.8,139.4613850052064,0.4714415465888852,64.44234173828167,0.2918584381306619,solved
NOVA OLINDA 12,2015-08-28,2015,8,10.12019036,7.742686812425778,353.79712358746536,302.83,182.7022479307743,0.5164039946910615,131.73512719954832,0.4350134595550168,solved
SÃO PEDRO II,2015-08-28,2015,8,10.12019036,15.192299579890445,228.52429658823075,305.51,118.01085963814597,0.5164039946736397,194.99656323380924,0.638265729817145,solved
VERDE VALE III,2015-08-28,2015,8,10.12019036,12.127237350451573,268.24881033869667,302.92,138.52475722535448,0.5164039946736396,173.19595159297185,0.5717547501060163,solved
BJL 11,2015-08-28,2015,8,10.12019036,14.31571431727447,237.77116922541128,303.5,122.78598160622438,0.5164039946736397,188.5148130013897,0.621136120645559,solved
HORIZONTE MP 11,2015-08-28,2015,8,10.12019036,11.551003317797557,276.52288809756294,301.83,142.79752396469416,0.5164039944292506,168.10463572307054,0.5569513825772963,solved
MALTA,2015-08-28,2015,8,10.12019036,11.580333989102765,270.70823870921294,296.0,139.79481586050275,0.5164039946736396,165.0865801821937,0.5577249273371049,solved
COREMAS II,2015-08-28,2015,8,10.12019036,9.69637461274527,310.084714333708,301.88,160.1289851691612,0.5164039946736396,151.92427249600112,0.5032604732354345,solved
ANGICO 1,2015-08-28,2015,8,10.12019036,11.580333989102765,270.70823870921294,296.0,139.79481586050275,0.5164039946736396,165.0865801821937,0.5577249273371049,solved
SÃO PEDRO IV,2015-08-28,2015,8,10.12019036,15.192299579890445,228.52429658823075,305.51,118.01085963814597,0.5164039946736397,194.99656323380924,0.638265729817145,solved
SOL MAIOR 2,2015-08-28,2015,8,10.12019036,12.559250638711827,256.51271433265697,297.0,132.46419036596222,0.5164039946736396,172.9514816910941,0.5823282100889026,solved
ASSURUÁ,2015-08-28,2015,8,10.12019036,15.926918641546745,215.04297367873386,298.5,111.04905069460148,0.5164039949545368,194.50607951487814,0.6516116512110344,solved
HORIZONTE MP 1,2015-08-28,2015,8,10.12019036,12.96493956193141,254.72955164631358,301.83,131.54335802332744,0.5164039946412363,178.64380029012625,0.5918689457402048,solved
HORIZONTE MP 2,2015-08-28,2015,8,10.12019036,12.96493956193141,254.72955164631358,301.83,131.54335802332744,0.5164039946412363,178.64380029012625,0.5918689457402048,solved
NOVA OLINDA 8,2015-08-28,2015,8,10.12019036,7.742686812425778,353.79712358746536,302.83,182.7022479307743,0.5164039946910615,131.73512719954832,0.4350134595550168,solved
NOVA OLINDA 14,2015-08-28,2015,8,10.12019036,7.742686812425778,353.79712358746536,302.83,182.7022479307743,0.5164039946910615,131.73512719954832,0.4350134595550168,solved
NOVA OLINDA 13,2015-08-28,2015,8,10.12019036,7.742686812425778,353.79712358746536,302.83,182.7022479307743,0.5164039946910615,131.73512719954832,0.4350134595550168,solved
NOVA OLINDA 10,2015-08-28,2015,8,10.12019036,7.742686812425778,353.79712358746536,302.83,182.7022479307743,0.5164039946910615,131.73512719954832,0.4350134595550168,solved
NOVA OLINDA 11,2015-08-28,2015,8,10.12019036,7.742686812425778,353.79712358746536,302.83,182.7022479307743,0.5164039946910615,131.73512719954832,0.4350134595550168,solved
NOVA OLINDA 9,2015-08-28,2015,8,10.12019036,7.742686812425778,353.79712358746536,302.83,182.7022479307743,0.5164039946910615,131.73512719954832,0.4350134595550168,solved
LAPA 2,2015-08-28,2015,8,10.12019036,12.269697524410859,266.8336556552449,303.83,137.79396565508424,0.5164039945287754,174.79030458708215,0.5752898255635924,solved
SOBRAL 1,2015-08-28,2015,8,10.12019036,13.882308516893167,242.61258568882795,302.5,125.28610847596065,0.5164039949545368,185.17352043511852,0.6121438739665771,solved
BOM JESUS DA LAPA I,2015-08-28,2015,8,10.12019036,10.653630211045966,294.8810888595725,304.83,152.27777224079574,0.5164039946736396,162.22668714130486,0.5321873999942158,solved
PIRAPORA 5,2015-08-28,2015,8,10.12019036,14.995952390592915,228.22122435801396,302.0,117.85435192778736,0.5164039946736396,191.6331258748956,0.6345467779813737,solved
PIRAPORA 6,2015-08-28,2015,8,10.12019036,14.64318563348912,228.22656640672517,296.45,117.85711058308156,0.5164039946736396,186.08054881462556,0.627696225006583,solved
PIRAPORA 7,2015-08-28,2015,8,10.12019036,14.805281047918273,228.22656640672517,299.0,117.85711058308156,0.5164039946736396,188.63054072023107,0.630871380938467,solved
PIRAPORA 9,2015-08-28,2015,8,10.12019036,14.805281047918273,228.22656640672517,299.0,117.85711058308156,0.5164039946736396,188.63054072023107,0.630871380938467,solved
PIRAPORA 10,2015-08-28,2015,8,10.12019036,14.64318563348912,228.22656640672517,296.45,117.85711058308156,0.5164039946736396,186.08054881462556,0.627696225006583,solved
BOM JESUS DA LAPA II,2015-08-28,2015,8,10.12019036,10.653630211045966,294.8810888595725,304.83,152.27777224079574,0.5164039946736396,162.22668714130486,0.5321873999942158,solved
SERTAO 1,2015-08-28,2015,8,10.12019036,14.029999738258493,242.26163510279878,304.5,125.10487612325294,0.5164039946736396,187.34324538004643,0.615248744491996,solved
LAPA 3,2015-08-28,2015,8,10.12019036,12.269697524410859,266.8336556552449,303.83,137.79396565508424,0.5164039945287754,174.79030458708215,0.5752898255635924,solved
FLORESTA I,2015-11-13,2015,11,10.60583402,14.349875195150453,235.99708021737564,292.8,125.26881599140461,0.5308066348787882,182.07174087587504,0.6218297052711599,solved
PIRAPORA 4,2015-11-13,2015,11,10.60583402,14.900976209409912,234.44314774182067,299.5,124.44397830794804,0.5308066348136194,189.50082810806043,0.6327239721647356,solved
SOBRADO1,2015-11-13,2015,11,10.60583402,14.932150152511515,234.4118057167389,299.95,124.42734175308617,0.5308066348136196,189.9655334705244,0.6333240043191253,solved
FLORESTA II,2015-11-13,2015,11,10.60583402,14.349875195150453,235.99708021737564,292.8,125.26881599140461,0.5308066348787882,182.07174087587504,0.6218297052711599,solved
COREMAS III,2015-11-13,2015,11,10.60583402,10.196733498591556,310.6003514345697,302.8,164.86872731691153,0.5308066348136196,157.06837159621404,0.5187198606985259,solved
PIRAPORA 3,2015-11-13,2015,11,10.60583402,14.900976209409912,234.44314774182067,299.5,124.44397830794804,0.5308066348136194,189.50082810806043,0.6327239721647356,solved
PIRAPORA 2,2015-11-13,2015,11,10.60583402,14.932153132740773,235.2323455805921,301.0,124.86288975694849,0.5308066348136196,190.63053971885654,0.6333240616009915,solved
GUIMARANIA 1,2015-11-13,2015,11,10.60583402,13.627960850823296,243.09424223559753,290.0,129.03603666364438,0.5308066348136196,175.94179213585144,0.6066958397466099,solved
BOA HORA 3,2015-11-13,2015,11,10.60583402,4.671690201475844,436.894244366779,291.75,231.90636362176912,0.5308066348136196,86.76212285608881,0.2973851646449888,solved
FLORESTA III,2015-11-13,2015,11,10.60583402,13.642023062579705,245.25966086532645,292.81,130.18545522356686,0.5308066347488447,177.73579989525723,0.607000432137856,solved
FAZENDA ESMERALDA,2015-11-13,2015,11,10.60583402,6.633700291999803,382.2390855062141,294.0,202.8950426018364,0.5308066346306124,114.65596164187019,0.38998625805746934,solved
BRISAS SUAVES,2015-11-13,2015,11,10.60583402,14.103137544492256,239.31753854350617,293.0,127.0313372861572,0.5308066348136196,180.71379451634886,0.6167706386450783,solved
GUIMARANIA 2,2015-11-13,2015,11,10.60583402,14.099901015517485,236.908685947371,290.0,125.75270234584065,0.5308066348136196,178.84401928868016,0.6167035086423351,solved
PARACATU 1,2015-11-13,2015,11,10.60583402,15.307705977698044,228.38033777308556,298.0,121.22579855092933,0.5308066348136197,190.84546416722088,0.6404210134113844,solved
PARACATU 2,2015-11-13,2015,11,10.60583402,15.3350994999852,228.05749000057364,298.0,121.05442881124517,0.5308066348136196,190.9969346295753,0.6409293198300754,solved
PARACATU 3,2015-11-13,2015,11,10.60583402,15.3350994999852,228.05749000057364,298.0,121.05442881124517,0.5308066348136196,190.9969346295753,0.6409293198300754,solved
PARACATU 4,2015-11-13,2015,11,10.60583402,15.3350994999852,228.05749000057364,298.0,121.05442881124517,0.5308066348136196,190.9969346295753,0.6409293198300754,solved
SOL STEELCONS MIRACEMA 1,2015-11-13,2015,11,10.60583402,1.0742681294698269,581.4308015426079,295.99,308.6273271438172,0.5308066348136196,23.18652689722478,0.07833550726612638,solved
SOL STEELCONS MIRACEMA 2,2015-11-13,2015,11,10.60583402,1.1185319845322519,581.4308015426079,296.99,308.6273271438172,0.5308066348136196,24.18652275650186,0.0814388463859778,solved
SOL STEELCONS MIRACEMA 3,2015-11-13,2015,11,10.60583402,1.3158350823644551,581.4308015426079,301.49,308.6273271438172,0.5308066348136196,28.686521477451095,0.09514916537803324,solved
JUAZEIRO SOLAR I,2015-11-13,2015,11,10.60583402,16.55849180624522,216.58778396855857,301.02,114.9662327500898,0.5308066348136196,199.39844636918895,0.6624093015983885,solved
JUAZEIRO SOLAR II,2015-11-13,2015,11,10.60583402,16.55849180624522,216.58778396855857,301.02,114.9662327500898,0.5308066348136196,199.39844636918895,0.6624093015983885,solved
JUAZEIRO SOLAR IV,2015-11-13,2015,11,10.60583402,16.55849180624522,216.58778396855857,301.02,114.9662327500898,0.5308066348136196,199.39844636918895,0.6624093015983885,solved
BJL 4,2015-11-13,2015,11,10.60583402,14.10974322264381,245.0699352355732,300.15,130.08474761638632,0.5308066348136197,185.1648120354261,0.6169075870348092,solved
BOA HORA 2,2015-11-13,2015,11,10.60583402,4.671690201475844,436.894244366779,291.75,231.90636362176912,0.5308066348136196,86.76212285608881,0.2973851646449888,solved
JUAZEIRO SOLAR III,2015-11-13,2015,11,10.60583402,16.55849180624522,216.58778396855857,301.02,114.9662327500898,0.5308066348136196,199.39844636918895,0.6624093015983885,solved
BOA HORA 1,2015-11-13,2015,11,10.60583402,4.671690201475844,436.894244366779,291.75,231.90636362176912,0.5308066348136196,86.76212285608881,0.2973851646449888,solved
APODI I,2015-11-13,2015,11,10.60583402,16.924453528391197,212.64674884976225,300.88,112.87430522363277,0.5308066351081623,201.10755433941313,0.668397885200878,solved
APODI IV,2015-11-13,2015,11,10.60583402,16.924455018505828,212.64673121667616,300.88,112.87429580124014,0.5308066348136196,201.107559333408,0.6683979089446613,solved
ASSU V,2015-11-13,2015,11,10.60583402,13.843171401212734,251.00096284969118,302.99,133.2329764409369,0.5308066348762249,185.22201009033262,0.6113139451153161,solved
APODI III,2015-11-13,2015,11,10.60583402,16.924455018505828,212.64673121667616,300.88,112.87429580124014,0.5308066348136196,201.107559333408,0.6683979089446613,solved
APODI II,2015-11-13,2015,11,10.60583402,16.924455018505828,212.64673121667616,300.88,112.87429580124014,0.5308066348136196,201.107559333408,0.6683979089446613,solved
NOVA CRUZ,2015-11-13,2015,11,10.60583402,6.731988252946358,377.80460578680146,292.6,200.5411914544948,0.5308066349187442,115.33658909482821,0.39417835866003353,solved
AGUA VERMELHA IV,2017-12-18,2017,12,10.0147157,nan,323.82163365728405,145.49,166.18010776051062,0.5131840818775777,nan,nan,no_positive_solution_in_bounds
AGUA VERMELHA V,2017-12-18,2017,12,10.0147157,nan,327.9206229667477,145.49,168.28364375900665,0.5131840816735432,nan,nan,no_positive_solution_in_bounds
