date,bndes_tjlp,obs_bndes_tlp,ntnb_5yr_yield,cpi_ipca,alpha,ntnb_5yr_yield_ma,est_bndes_tlp,obs_tlp_ipca,bndes_rate,us_treasury_yield,cds_brazil,solar_capacity_ratio,technology_premium,pre_tax_cost_of_debt,cost_of_debt,erp_sp500,cost_of_equity,debt_share,cost_of_capital,selic_target_rate,10yr_bloomberg_yield,yr10_gov_bond_yield,brl_5yr_bloomberg
01 January 2014,5,,,5.59,,,,,5,2.644,2.356,0.0110748,3.24944626,8.24944626,5.444634532,4.96,13.20944626,0.6,8.550559223,10.5,4.92,13.4,
01 February 2014,5,,,5.68,,,,,5,2.648,2.352,0.011098,3.2494451,8.2494451,5.444633766,5.17,13.4194451,0.6,8.6345583,10.75,4.68,12.7,
01 March 2014,5,,,6.15,,,,,5,2.718,2.282,0.0127725,3.249361375,8.249361375,5.444578507,4.96,13.20936138,0.6,8.550491655,10.75,4.64,12.8,
01 April 2014,5,,,6.28,,,,,5,2.646,2.354,0.0130022,3.24934989,8.24934989,5.444570927,5.15,13.39934989,0.6,8.626482512,11,4.24,12.44,
01 May 2014,5,,,6.37,,,,,5,2.476,2.524,0.0144324,3.24927838,8.24927838,5.444523731,5.12,13.36927838,0.6,8.61442559,11,4,12.11,
01 June 2014,5,,,6.52,,,,,5,2.53,2.47,0.0153317,3.249233415,8.249233415,5.444494054,5.03,13.27923342,0.6,8.578389798,11,4.04,12.2,
01 July 2014,5,,,6.5,,,,,5,2.558,2.442,0.0160628,3.24919686,8.24919686,5.444469928,5.38,13.62919686,0.6,8.718360701,11,4.21,12.02,
01 August 2014,5,,,6.51,,,,,5,2.343,2.657,0.0164412,3.24917794,8.24917794,5.44445744,5.45,13.69917794,0.6,8.74634564,11,3.75,11.22,
01 September 2014,5,,,6.75,,,,,5,2.489,2.511,0.0165228,3.24917386,8.24917386,5.444454748,5.28,13.52917386,0.6,8.678342393,11,4.32,12.34,
01 October 2014,5,,,6.59,,,,,5,2.335,2.665,0.0166916,3.24916542,8.24916542,5.444449177,5.43,13.67916542,0.6,8.738335674,11.25,4,12.07,
01 November 2014,5,,,6.56,,,,,5,2.164,2.836,0.0167078,3.24916461,8.24916461,5.444448643,5.32,13.56916461,0.6,8.69433503,11.25,3.94,11.83,
