date,erp_sp500
Jan-14,4.96
Feb-14,5.17
Mar-14,4.96
Apr-14,5.15
May-14,5.12
Jun-14,5.03
Jul-14,5.38
Aug-14,5.45
Sep-14,5.28
Oct-14,5.43
Nov-14,5.32
Dec-14,5.21
Jan-15,5.78
Feb-15,6.01
Mar-15,5.67
Apr-15,5.86
May-15,5.8
Jun-15,5.74
Jul-15,5.81
Aug-15,5.9
Sep-15,6.28
Oct-15,6.63
Nov-15,6.12
Dec-15,6.11
Jan-16,6.12
Feb-16,6.47
Mar-16,6.51
Apr-16,6.24
May-16,6.22
Jun-16,6.12
Jul-16,6.27
Aug-16,6.06
Sep-16,6.06
Oct-16,6.16
Nov-16,6.26
Dec-16,6.02
Jan-17,5.69
Feb-17,5.59
Mar-17,5.39
Apr-17,5.38
May-17,5.34
Jun-17,5.29
Jul-17,5.13
Aug-17,5.03
Sep-17,5.04
Oct-17,4.92
Nov-17,4.81
Dec-17,4.68
Jan-18,5.08
Feb-18,4.78
Mar-18,4.96
Apr-18,5.19
May-18,5.16
Jun-18,5.06
Jul-18,5.37
Aug-18,5.18
Sep-18,5.04
Oct-18,5.38
Nov-18,5.76
Dec-18,5.68
Jan-19,5.96
Feb-19,5.53
Mar-19,5.36
Apr-19,5.75
May-19,5.62
Jun-19,5.93
Jul-19,5.67
Aug-19,5.59
Sep-19,5.75
Oct-19,5.55
Nov-19,5.44
Dec-19,5.25
Jan-20,5.2
Feb-20,5.24
Mar-20,5.69
Apr-20,6.16
May-20,5.65
Jun-20,5.45
Jul-20,5.37
Aug-20,5.1
Sep-20,4.74
Oct-20,4.74
Nov-20,4.85
Dec-20,4.49
Jan-21,4.2
Feb-21,4.76
Mar-21,4.63
Apr-21,4.14
May-21,3.99
Jun-21,4.1
Jul-21,3.96
Aug-21,3.91
Sep-21,4.21
Oct-21,4.87
Nov-21,4.58
Dec-21,4.79
Jan-22,4.24
Feb-22,4.56
Mar-22,4.75
Apr-22,4.73
May-22,5.14
Jun-22,5.07
Jul-22,6.01
Aug-22,5.42
Sep-22,5.45
Oct-22,6.21
Nov-22,5.48
Dec-22,5.26
Jan-23,5.94
Feb-23,5.54
Mar-23,5.58
Apr-23,5.44
May-23,5.3
Jun-23,5.25
Jul-23,5
Aug-23,4.83
Sep-23,4.9
Oct-23,4.84
Nov-23,4.88
Dec-23,4.53
Jan-24,4.6
Feb-24,4.5
Mar-24,4.33
Apr-24,4.23
May-24,4.4
Jun-24,4.27
