scenario,n_projects,mean_lcoe_brl_mwh,median_lcoe_brl_mwh,mean_gap_brl_mwh,median_gap_brl_mwh,n_lcoe_leq_auction,share_lcoe_leq_auction,mean_scenario_wacc_pct
baseline,195,273.2673122223744,266.833655655245,73.8584917095539,80.46598743468516,48,0.24615384615384617,10.278401796415384
capex_minus_10,195,250.06417456777888,244.190998465255,50.655354054958366,55.884525950137515,51,0.26153846153846155,10.278401796415384
capex_minus_15,195,238.4626057404811,232.47193482829198,39.05378522766059,44.592768085159065,52,0.26666666666666666,10.278401796415384
coe_minus_200bps,195,260.36230584742907,253.57820692391013,60.953485334608565,67.69804765074448,50,0.2564102564102564,9.519427438705641
tech_premium_half,195,252.65172343597135,245.56439625970927,53.24290292315082,58.26666615645752,51,0.26153846153846155,9.05807423159121
cod_minus_100bps,195,262.8298288280594,256.8633149266901,63.421008315238886,68.9309016238173,50,0.2564102564102564,9.65788897716718
cod_minus_200bps,195,252.57923270748907,247.06787714579357,53.170412194668565,57.57454830850804,51,0.26153846153846155,9.037376156654359
debt_share_plus_10pp,195,258.44860904934706,251.59272455213426,59.039788536526544,65.86975114767114,50,0.2564102564102564,9.398223941202565
combined_financing_relief,195,237.55248711769016,230.8247542723302,38.143666604869644,43.02761996268498,52,0.26666666666666666,8.117711120689744
opex_minus_10,195,269.14371865473254,262.79294727971046,69.73489814191198,75.98689213980143,48,0.24615384615384617,10.278401796415384
