date,ntnb_5yr_yield,cpi_ipca,yr10_gov_bond_yield
Oct-17,4.98,2.7,9.9
Nov-17,5.15,2.8,10.39
Dec-17,5.09,2.95,10.27
Jan-18,4.67,2.86,9.72
Feb-18,4.74,2.84,9.62
Mar-18,4.64,2.68,9.46
Apr-18,4.69,2.76,9.67
May-18,5.4,2.86,11.22
Jun-18,5.75,4.39,11.62
Jul-18,5.57,4.48,11.09
Aug-18,5.63,4.19,12.19
Sep-18,5.89,4.53,11.64
Oct-18,4.82,4.56,10.24
Nov-18,4.85,4.05,9.93
Dec-18,4.59,3.75,9.32
Jan-19,4.15,3.78,8.87
Feb-19,4.15,3.89,9.02
Mar-19,4.17,4.58,8.99
Apr-19,4.16,4.94,8.97
May-19,3.77,4.66,8.47
Jun-19,3.25,3.37,7.48
Jul-19,3.14,3.22,7.25
Aug-19,3.25,3.43,7.44
Sep-19,2.8,2.89,7.05
Oct-19,2.4,2.54,6.44
Nov-19,2.78,3.27,6.89
Dec-19,2.77,4.31,6.81
Jan-20,2.69,4.19,6.7
Feb-20,2.58,4.01,6.78
Mar-20,2.81,3.3,7.65
Apr-20,2.75,2.4,7.58
May-20,2.69,1.88,6.96
Jun-20,2.45,2.13,6.71
Jul-20,2,2.31,6.3
Aug-20,2.37,2.44,6.92
Sep-20,2.81,3.14,7.34
Oct-20,2.93,3.92,7.61
Nov-20,2.78,4.31,7.62
Dec-20,2.3,4.52,6.9
Jan-21,2.65,4.56,7.58
Feb-21,3.02,5.2,8.19
Mar-21,3.53,6.1,8.89
Apr-21,3.41,6.76,9.13
May-21,3.44,8.06,8.77
Jun-21,3.76,8.35,9.12
Jul-21,3.92,8.99,9.12
Aug-21,4.45,9.68,10.55
Sep-21,4.68,10.25,11.17
Oct-21,5.38,10.67,12.25
Nov-21,5.15,10.74,11.41
Dec-21,5.12,10.06,10.31
Jan-22,5.43,10.38,11.08
Feb-22,5.38,10.54,11.32
Mar-22,5.46,11.3,11.25
Apr-22,5.53,12.13,12.25
May-22,5.61,11.73,12.55
Jun-22,5.79,11.89,13.05
Jul-22,6.04,10.07,13.04
Aug-22,5.94,8.73,12.19
Sep-22,5.83,7.17,12
Oct-22,5.44,6.47,11.91
Nov-22,6.1,5.9,12.81
Dec-22,6.21,5.79,12.76
Jan-23,6.21,5.77,13.07
Feb-23,5.96,5.6,13.31
Mar-23,5.78,4.65,12.82
Apr-23,5.68,4.18,12.36
May-23,5.66,3.94,11.55
Jun-23,5.45,3.16,10.68
Jul-23,5.26,3.99,10.85
Aug-23,5.26,4.61,11.23
Sep-23,5.64,5.19,11.87
Oct-23,6.21,4.82,11.88
Nov-23,5.58,4.68,10.97
Dec-23,5.25,4.62,10.36
Jan-24,5.38,4.51,10.66
Feb-24,5.68,4.5,10.77
Mar-24,5.7,3.93,10.98
Apr-24,6.29,3.69,11.8
May-24,6.23,3.93,11.84
Jun-24,6.56,4.23,12.33
